Geography,Views,Watch time (hours),Average view duration
Total,80899,1801.6108,0:01:20
PH,13970,351.435,0:01:30
IN,10970,198.2043,0:01:05
US,2361,64.9466,0:01:40
ZA,1439,11.4031,0:00:30
ID,862,13.3752,0:00:55
VN,400,2.198,0:00:19
KR,278,1.3204,0:00:17
BR,218,1.4162,0:00:23
DE,214,1.0673,0:00:17
BD,182,3.4935,0:01:09
GB,176,0.8731,0:00:17
FR,161,0.7615,0:00:17
MX,154,0.7531,0:00:17
CA,149,0.7806,0:00:18
IT,116,0.5415,0:00:16
PL,111,0.5333,0:00:17
MY,107,0.5386,0:00:18
ES,99,0.5773,0:00:20
AR,94,0.4586,0:00:17
TR,93,0.3845,0:00:14
RU,90,0.3982,0:00:15
PE,87,0.4074,0:00:16
TH,78,0.4608,0:00:21
AU,76,0.3295,0:00:15
UA,54,0.2338,0:00:15
CO,51,0.1867,0:00:13
EG,44,0.2559,0:00:20
NL,35,0.2286,0:00:23
NP,34,0.2279,0:00:24
SE,15,0.0854,0:00:20
CL,13,0.0817,0:00:22
CZ,13,0.1028,0:00:28
IL,12,0.0362,0:00:10
NO,12,0.039,0:00:11
SG,12,0.0684,0:00:20
BE,11,0.0816,0:00:26
GR,11,0.0681,0:00:22
SA,11,0.0651,0:00:21
BO,10,0.0369,0:00:13
DK,10,0.0408,0:00:14
DZ,10,0.0758,0:00:27
HU,10,0.0484,0:00:17
IQ,10,0.0466,0:00:16
KZ,10,0.0599,0:00:21
AT,0,0,
HN,0,0,
IE,0,0,
MA,0,0,
