Date,Average view duration
2019-11,0:00:00
2019-12,0:00:00
2020-01,0:00:00
2020-02,0:00:00
2020-03,0:00:00
2020-04,0:00:00
2020-05,0:00:00
2020-06,0:00:00
2020-07,0:00:00
2020-08,0:00:00
2020-09,0:00:00
2020-10,0:00:22
2020-11,0:01:06
2020-12,0:01:28
2021-01,0:01:38
2021-02,0:01:24
2021-03,0:01:24
2021-04,0:00:58
2021-05,0:00:58
2021-06,0:01:06
2021-07,0:01:07
2021-08,0:00:43
2021-09,0:00:47
2021-10,0:01:07
2021-11,0:01:18
2021-12,0:00:49
2022-01,0:01:47
2022-02,0:02:00
2022-03,0:01:32
2022-04,0:01:47
2022-05,0:01:28
2022-06,0:01:48
2022-07,0:01:54
2022-08,0:01:51
2022-09,0:01:56
2022-10,0:01:52
2022-11,0:01:59
2022-12,0:01:48
2023-01,0:01:41
2023-02,0:01:37
2023-03,0:01:39
2023-04,0:01:34
2023-05,0:01:25
2023-06,0:01:25
2023-07,0:01:28
2023-08,0:01:32
2023-09,0:01:26
2023-10,0:01:29
2023-11,0:01:29
2023-12,0:01:30
2024-01,0:01:27
2024-02,0:01:29
2024-03,0:01:26
2024-04,0:01:19
2024-05,0:01:17
2024-06,0:01:24
2024-07,0:01:23
2024-08,0:01:18
2024-09,0:00:32
2024-10,0:01:17
2024-11,0:01:11
2024-12,0:01:21
2025-01,0:01:15
2025-02,0:01:22
2025-03,0:01:20
2025-04,0:01:14
2025-05,0:01:21
2025-06,0:01:24
2025-07,0:01:19
2025-08,0:01:21
2025-09,0:01:19
2025-10,0:01:21
2025-11,0:01:16
2025-12,0:00:30
